[PC Hunter Standard][IDT]: 1536
Cpu序号		序号		函数名称		段选择子		当前函数地址		Hook		原始函数地址		当前函数地址所在模块
0		AF		KiUnexpectedInterrupt127		0x02		0xFFFFF804601317F8		-		0xFFFFF804601317F8		C:\Windows\system32\ntoskrnl.exe
0		B0		KiUnexpectedInterrupt128		0x02		0xFFFFF80460131800		-		0xFFFFF80460131800		C:\Windows\system32\ntoskrnl.exe
0		B1		KiUnexpectedInterrupt129		0x02		0xFFFFF80460131808		-		0xFFFFF80460131808		C:\Windows\system32\ntoskrnl.exe
0		B2		KiUnexpectedInterrupt130		0x02		0xFFFFF80460131810		-		0xFFFFF80460131810		C:\Windows\system32\ntoskrnl.exe
0		B3		KiUnexpectedInterrupt131		0x02		0xFFFFF80460131818		-		0xFFFFF80460131818		C:\Windows\system32\ntoskrnl.exe
0		B4		KiUnexpectedInterrupt132		0x02		0xFFFFF80460131820		-		0xFFFFF80460131820		C:\Windows\system32\ntoskrnl.exe
0		B5		KiUnexpectedInterrupt133		0x02		0xFFFFF80460131828		-		0xFFFFF80460131828		C:\Windows\system32\ntoskrnl.exe
0		B6		KiUnexpectedInterrupt134		0x02		0xFFFFF80460131830		-		0xFFFFF80460131830		C:\Windows\system32\ntoskrnl.exe
0		B7		KiUnexpectedInterrupt135		0x02		0xFFFFF80460131838		-		0xFFFFF80460131838		C:\Windows\system32\ntoskrnl.exe
0		B8		KiUnexpectedInterrupt136		0x02		0xFFFFF80460131840		-		0xFFFFF80460131840		C:\Windows\system32\ntoskrnl.exe
0		B9		KiUnexpectedInterrupt137		0x02		0xFFFFF80460131848		-		0xFFFFF80460131848		C:\Windows\system32\ntoskrnl.exe
0		BA		KiUnexpectedInterrupt138		0x02		0xFFFFF80460131850		-		0xFFFFF80460131850		C:\Windows\system32\ntoskrnl.exe
0		BB		KiUnexpectedInterrupt139		0x02		0xFFFFF80460131858		-		0xFFFFF80460131858		C:\Windows\system32\ntoskrnl.exe
0		BC		KiUnexpectedInterrupt140		0x02		0xFFFFF80460131860		-		0xFFFFF80460131860		C:\Windows\system32\ntoskrnl.exe
0		BD		KiUnexpectedInterrupt141		0x02		0xFFFFF80460131868		-		0xFFFFF80460131868		C:\Windows\system32\ntoskrnl.exe
0		BE		KiUnexpectedInterrupt142		0x02		0xFFFFF80460131870		-		0xFFFFF80460131870		C:\Windows\system32\ntoskrnl.exe
0		BF		KiUnexpectedInterrupt143		0x02		0xFFFFF80460131878		-		0xFFFFF80460131878		C:\Windows\system32\ntoskrnl.exe
0		C0		KiUnexpectedInterrupt144		0x02		0xFFFFF80460131880		-		0xFFFFF80460131880		C:\Windows\system32\ntoskrnl.exe
0		C1		KiUnexpectedInterrupt145		0x02		0xFFFFF80460131888		-		0xFFFFF80460131888		C:\Windows\system32\ntoskrnl.exe
0		C2		KiUnexpectedInterrupt146		0x02		0xFFFFF80460131890		-		0xFFFFF80460131890		C:\Windows\system32\ntoskrnl.exe
